"Product Information Webservice","Produktinformationen-Webservice"
"Mandant ID","Mandanten-ID"
"Mandant Identification","Mandanten-Zugang: ID"
"Username","Benutzername"
"Mandant Credentials: Username","Mandanten-Zugang: Benutzername"
"Password","Passwort"
"Mandant Credentials: Password","Mandanten-Zugang: Passwort"
"Product List","Produktliste"
"Credentials Missing","Zugangsdaten erforderlich"
"Please configure above credentials to retrieve the product list.","Bitte konfigurieren Sie obenstehende Zugangsdaten, um die Produktliste abzurufen."
"Product List Available","Produktliste verfügbar"
"Sales products are available.","Verkaufsprodukte sind verfügbar."
"Retrieve Product List","Produktliste abrufen"
"Product list successfully updated with %d items.","Die Produktliste wurde erfolgreich aktualisiert mit %d Verkaufsprodukten."
"An error occurred while retrieving sales products. Please review log and try again.","Während des Abrufs der Produktliste ist ein Fehler aufgetreten. Weitere Informationen finden Sie im Log."
