"INTERNETMARKE Webservice","INTERNETMARKE Webservice"
"Account","Account"
"Buy credit","Buy credit"
"Renew password","Renew password"
"Partner ID","Partner ID"
"Partner Identification","Partner Identification"
"Partner Signature","Partner Signature"
"DPWN Marketplace Key","DPWN Marketplace Key"
"Email Address","Email Address"
"Portokasse Credentials: Email Address","Portokasse Credentials: Email Address"
"Password","Password"
"Portokasse Credentials: Password","Portokasse Credentials: Password"
"Page Format","Page Format"
"Page formats marked with (A) print addresses.","Page formats marked with (A) print addresses."
"Retrieve Page Formats","Retrieve Page Formats"
"ID","ID"
"Ordered","Ordered"
"Shop Order ID","Shop Order ID"
"Order Items","Order Items"
"Item Amount","Item Amount"
"Created At","Created At"
"Updated At","Updated At"
"Franking Link","Franking Link"
"Action","Action"
"DeutschePost_OneClickForApp::Order Internetmarke","Order Internetmarke"
"Delete","Delete"
"DeutschePost_OneClickForApp::Print Shipping Labels","Print Shipping Labels"
"Please select a franking order.","Please select a franking order."
"Please select franking orders.","Please select franking orders."
"%d franking(s) were ordered successfully.","%d franking(s) were ordered successfully."
"The selected franking could not be ordered.","The selected franking could not be ordered."
"The selected franking was ordered successfully.","The selected franking was ordered successfully."
"A new order with %d cart items was submitted to the order interface.","A new order with %d cart items was submitted to the order interface."
"Please configure a page format in the module configuration.","Please configure a page format in the module configuration."
"The webservice request resulted in the following error: '%s'. Please review the logs.","The webservice request resulted in the following error: '%s'. Please review the logs."
"n/a","n/a"
"PDF","PDF"
"Total of %d order(s) have been deleted.","Total of %d order(s) have been deleted."
"An error occurred while mass deleting items. Please review log and try again.","An error occurred while mass deleting items. Please review log and try again."
"%d page formats were retrieved successfully.","%d page formats were retrieved successfully."
"An error occurred while retrieving page formats. Please review log and try again.","An error occurred while retrieving page formats."
